,Con_Early_Pf_1,Con_Early_Pf_2,Con_Early_Pf_3,Con_Mid_Pup_2_1,Con_Mid_Pup_2_2,Con_Mid_Pup_2_3,Early_PF_1,Early_PF_2,Early_PF_3,Early_Pup_1,Early_Pup_2,Early_Pup_3,Fast_Early_Pf_1,Fast_Early_Pf_2,Fast_Early_Pf_3,Fast_Mid_Pup_2_1,Fast_Mid_Pup_2_2,Fast_Mid_Pup_2_3,Feed_3rd_1,Feed_3rd_2,Feed_3rd_3,Late_PF_1,Late_PF_2,Late_PF_3,Late_Pup_1,Late_Pup_2,Late_Pup_3,Mid_Pup_1_1,Mid_Pup_1_2,Mid_Pup_1_3,Mid_Pup_2_1,Mid_Pup_2_2,Mid_Pup_2_3,Slow_Early_Pf_1,Slow_Early_Pf_2,Slow_Early_Pf_3,Slow_Mid_Pup_2_1,Slow_Mid_Pup_2_2,Slow_Mid_Pup_2_3
>FBtr0290535,7,1,11,8,3,1,6,9,20,0,2,3,21,9,10,10,1,8,14,21,14,0,2,0,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0
>FBtr0290556,9,7,11,6,3,1,21,16,32,2,2,1,14,4,14,11,3,19,15,31,27,1,4,1,0,0,1,2,2,3,1,0,0,1,1,2,1,2,2
>FBtr0290566,569,147,584,1119,279,511,1212,779,2119,192,242,324,575,429,557,855,137,575,1193,2591,1432,56,165,30,655,164,197,180,273,387,68,110,55,38,24,15,101,460,237
>FBtr0290568,5,0,7,15,9,0,8,6,17,4,1,8,10,3,4,5,0,7,2,5,4,0,0,0,5,1,1,4,0,0,2,2,1,2,0,3,3,7,8
>FBtr0290572,12681,4113,13460,6800,2349,762,9418,5841,16435,1375,1121,1741,18330,9418,9862,10835,1167,8604,13366,15703,8718,756,2171,657,1120,283,738,964,918,1406,553,321,83,275,135,225,179,545,360
>FBtr0290575,532,95,401,912,331,746,1542,913,2433,109,115,113,389,359,467,790,126,609,1915,3810,2139,50,140,67,186,38,43,107,178,331,113,135,76,94,69,69,149,673,436
>FBtr0290579,52,7,34,43,13,7,13,13,51,7,3,11,29,22,28,40,2,39,17,32,15,5,12,0,6,1,5,6,9,6,3,2,1,2,2,2,1,7,2
>FBtr0290587,697,136,575,705,196,49,636,260,920,136,185,202,716,309,376,438,52,559,475,625,353,63,173,26,458,55,186,119,190,280,73,97,1,3,1,0,3,12,3
>FBtr0290596,50,17,16,201,83,25,94,36,181,88,91,138,46,7,9,20,2,32,38,39,15,14,53,10,86,14,42,198,183,333,97,43,9,3,6,1,39,94,60
>FBtr0290599,1658,202,890,2583,1003,518,1112,640,2391,516,464,456,1259,637,859,2056,229,1234,997,1224,643,186,438,117,921,137,300,435,635,1156,489,260,94,102,74,77,257,893,663
>FBtr0290601,232,60,166,269,51,18,278,132,557,103,150,198,352,64,86,322,24,140,115,249,164,22,73,22,28,7,10,159,127,220,58,21,19,11,6,3,12,93,29
>FBtr0290603,5,5,4,11,2,0,6,1,20,3,5,4,8,1,0,4,0,6,10,11,6,0,5,0,0,0,1,7,1,6,1,0,0,0,0,0,0,0,0
>FBtr0290611,344,77,226,891,241,144,538,359,1065,121,100,137,550,63,58,591,59,373,515,1061,445,59,134,44,11,3,3,55,35,60,44,19,22,71,36,42,29,73,116
>FBtr0290613,290,105,495,653,184,172,635,458,1208,34,29,72,555,351,366,632,75,330,583,1026,570,33,103,26,11,2,7,29,32,45,8,10,12,33,14,23,36,89,66
>FBtr0290615,89,32,72,124,42,24,115,72,261,9,23,39,108,55,38,120,11,83,90,97,56,16,38,4,21,7,7,29,39,47,6,5,8,4,4,7,6,33,19
>FBtr0290619,83,17,46,185,67,25,39,20,64,33,23,28,53,16,35,119,26,48,17,24,6,11,23,5,685,98,272,25,14,37,21,13,12,18,7,7,29,63,65
>FBtr0290632,41,13,30,51,16,5,22,14,60,17,8,19,44,24,22,58,1,22,22,21,10,3,21,1,14,2,2,10,10,24,11,5,2,0,0,0,1,5,3
>FBtr0293664,45,3,28,52,20,13,88,51,84,2,1,1,7,23,48,31,1,56,190,178,258,7,16,5,2,0,0,1,1,1,0,0,1,2,7,2,2,4,0
>FBtr0297026,29,6,17,41,13,15,62,45,132,2,5,7,35,33,34,30,4,47,89,79,76,2,9,2,2,2,0,7,9,11,0,1,0,1,2,1,1,5,0
>FBtr0297109,241,51,195,244,81,13,116,74,324,50,25,67,360,147,168,245,25,170,115,143,59,21,39,18,26,6,10,54,56,80,17,6,1,2,0,0,3,4,2
>FBtr0297121,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,10,5,2,1,3,1,4,3,3,0,0,0,10,11,11
>FBtr0297123,105,27,88,82,26,10,57,37,116,14,13,29,119,72,79,90,11,68,91,80,60,13,20,9,7,3,3,11,7,10,5,2,1,5,4,3,1,10,7
